"title","movieInfo","point","review"
"더블패티","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196361&target=after","10","배주현 배우님 연기 정말 잘 하시더라구요 이번 영화를 통해 배주현 배우님의 다재다능한 모습을 볼 수 있어서 정말 좋았어요 이 영화를 통해 시작이라는 것에 큰 힘을 받아서 큰 위로 받은 것 같아요 OST도 영화랑 너무 잘 어울리고요 좋은 영화 제작해주셔서 감사합니다 더블패티 화이팅 "
"소울","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184517&target=after","1","생각보다는 그저그랬어요.평점이 와 인생영화다 해서 보러간건데 그정도까진 아닌듯..?그냥 평소 느끼고있는걸 영화로 표현한 정도인것같아요.솔직히 초반~중반 지루한 부분 꽤있었고 끝까지 예상 가능한 스토리라서 그닥...영상도 특출난 부분은 없었어요.큰 기대안하고 오랜만에 디즈니영화 가볍게 본다 생각하고 가시면 될듯합니다~ 진짜 평범했어요.. 코로나 뚫고 갈 정도 영화는 아닌듯... 감동도 좀 억지로 감동 일으키려고 하는 의도가 너무 보이고, 자연스러운 흐름은 아니고 좀 뚝뚝 끊기는 느낌이었다. 솔직히 영화 중간에 나갈까 하는 생각도 들었음 "
"타인의 삶","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=63403&target=after","9"," 잔잔한 감동이 있습니다. "
"더블패티","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196361&target=after","10","감동은 아이린 얼굴... 생각보다 괜찮은연기 그리고 가끔 몇개의 대사우람 현지 둘이 대화하는 장면들이 제일 좋은 장면들이었던 거 같음 차라리 둘이 오래 썸타는 게 더 재밌었을 것 같아요 초반 둘이 만나기 전은 좀 지루함 감이 있음 내용전개가 휙휙 넘어가서 읭? 스러운 감이 매우 많음 "
"극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","10","재밌다! 재밌다! 재밌다! 재밌다! 재밌다! 재밌다! 재밌다! 재밌다!!!!마음에 불을 켜고 두번 보고 세번 보고 네번 보기를! "
"시월애","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=30306&target=after","9","극장서 관람했었네요. 대학교 1학년 때였나...암튼 그랬네요. "
"몬스터 헌터","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=190011&target=after","8","스토리는 유치한데 전체적으로 액션영화로 보면 좋을 듯. 코로나 시대에 생각없이 볼만합니다. 추천! "
"아이언맨","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=44885&target=after","10","죽을때까지 로다주의 아이언맨은 못잊는다.. 초 2부터 20살까지 최고의 주인공을 맡아주셔서 감사합니다 "
"동감","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=29756&target=after","9","이영화 너무 좋았습니다.마음이 따스했었구요^^ "
"극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","10","최고. 그냥 최고.. 렌고쿠 쿄쥬로때문에 한번 더 보고싶다 하... "
"더블패티","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196361&target=after","10","배주현 배우님 연기가 참 섬세하네요 외모에 가려서 노래, 연기 등 잘한다는 걸 모르는 사람들이 많은데 이로써 정말 다재다능한 사람이라는 걸 보여줘서 좋았습니다 앞으로의 활동도 응원할게요 영화 잘 봤습니다. "
"승리호","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=186342&target=after","10","생각보다 잘 만들었네여 실감남 "
"더블패티","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196361&target=after","10","배주현 배우 연기 담백해서 참 좋았네요.놀랐어요. 신승호 배우 연기 역시 연기자답게 깔끔. OST 좋아요. "
"트랜스포머","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=61521&target=after","10","초1때 트랜스포머, 초2때 아이언맨1을 봤을 때의 감동을 잊을 수 없다.. 가장 메카닉과 자동차 좋아하던 시절에 최고의 영화 두편을 봐서 행복했지 다만 트랜스포머는 3편까지만 보는걸로.. "
"8월의 크리스마스","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=18817&target=after","9","어릴때 이영화를 보고서는 너무 행복하고좋았던 기억이 납니다. 이제는 40대 초반 인데요... 너무 감동적이 네요. "
