,법정동,축종,발생두수(마리)
466,4617039021,벌,2
467,4886034026,소,1
468,4481040022,소,3
469,4617032022,소,3
470,4157025023,벌,7
471,4480034027,소,1
472,4480036024,소,7
473,4148026227,소,1
474,2771026228,소,3
475,4427031022,소,4
476,4420037032,소,3
477,4575034026,벌,6
478,4719034021,소,2
479,4372038521,소,1
480,4183025022,소,48
481,4481040029,소,3
482,4575033024,벌,148
483,4571039025,소,2
484,4575033024,벌,149
485,4136036024,소,2
486,4772031041,소,1
487,4518036026,소,8
488,4691025325,소,1
489,4617031025,소,1
490,4686036022,소,13
491,4163031022,닭,1
492,4521033026,소,1
493,4519040024,소,2
494,4315010300,소,1
495,4729031030,소,1
496,4686034022,소,1
497,4686025028,소,1
498,4691025322,소,1
499,4691025322,소,1
500,4691025322,소,1
501,4377035028,소,1
502,4277025029,벌,5
503,4719034021,소,1
504,4574032031,소,3
505,4617034029,소,1
506,4617032029,소,21
507,4672034031,소,1
508,4427031022,소,1
509,4686036021,소,3
510,4873032024,소,2
511,4719034031,소,1
512,4377031025,벌,10
513,4125010500,벌,3
514,4677031023,벌,1
515,4713025327,소,1
516,4574031032,소,1
517,4683034032,소,1
518,4617031026,소,2
519,4480034027,소,14
520,4886035028,벌,10
521,4617031026,소,2
522,4521033026,소,1
523,4418036029,소,1
524,4617031025,소,1
525,4183041027,소,4
526,4783033035,소,1
527,4155042022,소,1
528,4377035028,소,8
529,4792038021,소,1
530,4617032029,소,19
531,4719034031,소,1
532,4684035023,소,1
533,4167034021,소,1
534,4691025327,소,2
535,4311425351,소,4
536,4272035030,소,2
537,4784032049,소,1
538,4183033024,소,2
539,4827025033,소,2
540,4691025022,소,1
541,4183041027,소,1
542,4783033035,소,1
543,4481040028,소,2
544,4623032024,벌,1
545,4673025028,벌,1
546,4686034022,소,1
547,4684025022,소,1
548,4686038032,소,5
549,4678038029,소,9
550,4574033527,소,2
551,4136025625,소,1
552,4873032036,소,1
553,4573035024,소,9
554,4785033036,벌,15
555,4617037030,소,1
556,4717041024,벌,62
557,4315036026,벌,3
558,4691025022,소,1
559,4723011200,소,7
